"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2004年3月1日","1,489.5","1,476.0","1,490.2","1,467.6","-","1.30%"
"2004年2月27日","1,470.4","1,479.6","1,485.4","1,459.9","-","-0.46%"
"2004年2月26日","1,477.1","1,465.4","1,480.9","1,461.4","-","0.47%"
"2004年2月25日","1,470.2","1,465.8","1,474.2","1,461.3","-","0.56%"
"2004年2月24日","1,462.1","1,458.4","1,474.0","1,452.5","-","-0.12%"
"2004年2月23日","1,463.8","1,488.3","1,489.4","1,454.4","-","-1.24%"
"2004年2月20日","1,482.1","1,490.8","1,493.4","1,470.9","-","-0.18%"
"2004年2月19日","1,484.8","1,522.4","1,524.1","1,484.8","-","-1.51%"
"2004年2月18日","1,507.5","1,509.6","1,515.4","1,501.7","-","0.06%"
"2004年2月17日","1,506.6","1,498.7","1,512.2","1,497.5","-","1.49%"
"2004年2月13日","1,484.5","1,504.7","1,510.8","1,478.5","-","-1.12%"
"2004年2月12日","1,501.3","1,508.2","1,516.2","1,499.4","-","-0.85%"
"2004年2月11日","1,514.2","1,498.1","1,514.5","1,491.2","-","0.93%"
"2004年2月10日","1,500.3","1,490.7","1,503.8","1,489.9","-","0.63%"
"2004年2月9日","1,490.9","1,502.3","1,503.0","1,490.7","-","-0.54%"
"2004年2月6日","1,498.9","1,472.0","1,498.9","1,470.3","-","2.32%"
"2004年2月5日","1,465.0","1,469.0","1,475.4","1,461.1","-","0.17%"
"2004年2月4日","1,462.6","1,473.5","1,482.3","1,461.0","-","-1.96%"
"2004年2月3日","1,491.8","1,485.9","1,497.1","1,482.7","-","0.27%"
"2004年2月2日","1,487.8","1,497.8","1,507.6","1,481.6","-","-0.35%"
"2004年1月30日","1,493.1","1,494.9","1,505.1","1,487.8","-","-0.22%"
"2004年1月29日","1,496.4","1,499.8","1,500.8","1,474.1","-","0.32%"
"2004年1月28日","1,491.6","1,527.3","1,530.1","1,488.6","-","-1.82%"
"2004年1月27日","1,519.2","1,548.6","1,552.5","1,519.2","-","-2.22%"
"2004年1月26日","1,553.7","1,526.6","1,553.7","1,522.9","-","1.47%"
"2004年1月23日","1,531.2","1,535.4","1,546.7","1,519.7","-","0.05%"
"2004年1月22日","1,530.4","1,551.0","1,556.1","1,530.4","-","-1.05%"
"2004年1月21日","1,546.6","1,545.5","1,554.9","1,529.4","-","-0.40%"
"2004年1月20日","1,552.9","1,558.9","1,559.5","1,541.3","-","-0.05%"
