"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年5月26日","15,446.0","15,501.0","15,540.0","15,399.0","39.62K","-0.14%"
"2021年5月25日","15,467.0","15,554.0","15,600.0","15,451.0","47.51K","-0.60%"
"2021年5月24日","15,560.0","15,460.0","15,585.0","15,427.0","23.34K","0.84%"
"2021年5月21日","15,431.0","15,400.0","15,462.0","15,347.0","49.73K","0.61%"
"2021年5月20日","15,337.0","15,134.0","15,393.0","15,095.0","56.40K","1.42%"
"2021年5月19日","15,123.0","15,299.0","15,328.0","14,954.0","90.73K","-1.83%"
"2021年5月18日","15,405.0","15,439.0","15,538.0","15,319.0","51.21K","0.03%"
"2021年5月17日","15,401.0","15,432.0","15,479.0","15,346.0","49.57K","-0.04%"
"2021年5月14日","15,407.0","15,264.0","15,462.0","15,208.0","57.51K","1.50%"
"2021年5月13日","15,180.0","15,092.0","15,263.0","14,806.0","88.99K","0.16%"
"2021年5月12日","15,156.0","15,126.0","15,226.0","14,995.0","73.91K","0.44%"
"2021年5月11日","15,089.0","15,315.0","15,315.0","15,003.0","95.34K","-2.08%"
"2021年5月10日","15,409.0","15,439.0","15,472.0","15,308.0","47.24K","0.19%"
"2021年5月7日","15,380.0","15,243.0","15,417.0","15,233.0","63.46K","1.37%"
"2021年5月6日","15,172.0","15,170.0","15,285.0","15,094.0","71.38K","0.03%"
"2021年5月5日","15,167.0","14,924.0","15,197.0","14,924.0","64.55K","2.10%"
"2021年5月4日","14,855.0","15,250.0","15,272.0","14,833.0","96.82K","-2.50%"
"2021年5月3日","15,236.0","15,188.0","15,280.0","15,116.0","51.21K","0.45%"
"2021年4月30日","15,168.0","15,180.0","15,254.0","15,105.0","61.50K","0.04%"
"2021年4月29日","15,162.0","15,332.0","15,348.0","15,094.0","61.87K","-0.96%"
"2021年4月28日","15,309.0","15,278.0","15,369.0","15,249.0","43.43K","0.31%"
"2021年4月27日","15,262.0","15,307.0","15,328.0","15,200.0","41.38K","-0.35%"
"2021年4月26日","15,316.0","15,288.0","15,344.0","15,250.0","37.71K","0.16%"
"2021年4月23日","15,291.0","15,272.0","15,327.0","15,164.0","47.22K","-0.27%"
"2021年4月22日","15,333.0","15,255.0","15,355.0","15,228.0","48.27K","0.81%"
"2021年4月21日","15,210.0","15,161.0","15,283.0","15,089.0","58.30K","0.49%"
"2021年4月20日","15,136.0","15,416.0","15,418.0","15,121.0","63.40K","-1.75%"
"2021年4月19日","15,405.0","15,480.0","15,516.0","15,351.0","51.12K","-0.47%"
"2021年4月16日","15,477.0","15,291.0","15,529.0","15,275.0","66.02K","1.35%"
"2021年4月15日","15,271.0","15,208.0","15,300.0","15,195.0","42.64K","0.29%"
"2021年4月14日","15,227.0","15,264.0","15,317.0","15,181.0","48.69K","-0.21%"
"2021年4月13日","15,259.0","15,263.0","15,298.0","15,196.0","46.74K","0.08%"
"2021年4月12日","15,247.0","15,216.0","15,291.0","15,203.0","36.21K","0.04%"
"2021年4月9日","15,241.0","15,246.0","15,278.0","15,170.0","41.89K","0.20%"
"2021年4月8日","15,211.0","15,226.0","15,273.0","15,160.0","41.23K","0.09%"
"2021年4月7日","15,198.0","15,229.0","15,257.0","15,171.0","40.17K","-0.23%"
"2021年4月6日","15,233.0","15,255.0","15,338.0","15,182.0","61.97K","0.79%"
"2021年4月1日","15,113.0","15,045.0","15,210.0","15,028.0","46.75K","0.56%"
"2021年3月31日","15,029.0","15,006.0","15,061.0","14,969.0","54.90K","-0.03%"
"2021年3月30日","15,034.0","14,886.0","15,043.0","14,865.0","52.64K","1.30%"
"2021年3月29日","14,841.0","14,816.0","14,906.0","14,733.0","50.27K","0.57%"
"2021年3月26日","14,757.0","14,709.0","14,869.0","14,687.0","54.79K","0.99%"
"2021年3月25日","14,612.0","14,591.0","14,710.0","14,430.0","76.52K","-0.03%"
"2021年3月24日","14,616.0","14,608.0","14,631.0","14,530.0","59.92K","-0.56%"
"2021年3月23日","14,698.0","14,686.0","14,720.0","14,526.0","57.98K","0.21%"
"2021年3月22日","14,667.0","14,624.0","14,693.0","14,551.0","44.71K","-0.22%"
"2021年3月19日","14,699.5","14,693.0","14,748.0","14,663.0","5.51K","-0.61%"
"2021年3月18日","14,790.0","14,695.0","14,805.0","14,660.0","63.42K","1.34%"
"2021年3月17日","14,594.0","14,561.0","14,684.0","14,529.0","67.33K","0.23%"
"2021年3月16日","14,560.0","14,496.0","14,604.0","14,475.0","78.37K","0.65%"
"2021年3月15日","14,466.0","14,578.0","14,587.0","14,406.0","75.29K","-0.25%"
"2021年3月12日","14,502.0","14,563.0","14,569.0","14,448.0","58.69K","-0.51%"
"2021年3月11日","14,577.0","14,542.0","14,595.0","14,513.0","59.46K","0.28%"
"2021年3月10日","14,537.0","14,440.0","14,562.0","14,386.0","65.88K","0.53%"
"2021年3月9日","14,460.0","14,396.0","14,476.0","14,304.0","65.57K","0.44%"
"2021年3月8日","14,397.0","14,040.0","14,408.0","13,957.0","102.30K","3.49%"
"2021年3月5日","13,912.0","13,920.0","14,065.0","13,860.0","92.85K","-0.98%"
"2021年3月4日","14,050.0","13,986.0","14,093.0","13,893.0","80.99K","-0.14%"
"2021年3月3日","14,069.0","14,061.0","14,195.0","13,972.0","77.00K","0.19%"
"2021年3月2日","14,042.0","14,026.0","14,098.0","13,920.0","67.41K","0.32%"
"2021年3月1日","13,997.0","13,875.0","14,033.0","13,846.0","61.02K","1.73%"
"2021年2月26日","13,759.0","13,742.0","13,875.0","13,637.0","87.61K","-0.97%"
"2021年2月25日","13,894.0","14,025.0","14,069.0","13,737.0","75.87K","-0.62%"
"2021年2月24日","13,980.0","13,857.0","14,019.0","13,782.0","63.24K","0.98%"
"2021年2月23日","13,844.0","13,909.0","14,006.0","13,655.0","93.79K","-0.83%"
"2021年2月22日","13,960.0","13,970.0","14,032.0","13,791.0","63.90K","-0.31%"
"2021年2月19日","14,003.0","13,897.0","14,020.0","13,844.0","63.49K","0.86%"
"2021年2月18日","13,883.0","13,966.0","13,975.0","13,845.0","63.08K","-0.17%"
"2021年2月17日","13,907.0","14,020.0","14,064.0","13,875.0","75.05K","-1.05%"
"2021年2月16日","14,054.0","14,118.0","14,153.0","14,028.0","46.92K","-0.44%"
"2021年2月15日","14,116.0","14,073.0","14,152.0","14,066.0","34.12K","0.58%"
"2021年2月12日","14,035.0","14,041.0","14,069.0","13,905.0","41.32K","0.08%"
"2021年2月11日","14,024.0","13,919.0","14,044.0","13,892.0","42.41K","0.76%"
"2021年2月10日","13,918.0","14,034.0","14,090.0","13,816.0","59.72K","-0.56%"
"2021年2月9日","13,996.0","14,068.0","14,078.0","13,948.0","41.09K","-0.56%"
"2021年2月8日","14,075.0","14,082.0","14,185.0","14,032.0","41.68K","0.24%"
"2021年2月5日","14,041.0","14,049.0","14,105.0","14,001.0","44.41K","-0.02%"
"2021年2月4日","14,044.0","13,960.0","14,061.0","13,898.0","45.37K","0.92%"
"2021年2月3日","13,916.0","13,881.0","13,983.0","13,853.0","49.43K","0.66%"
"2021年2月2日","13,825.0","13,645.0","13,876.0","13,626.0","51.81K","1.45%"
"2021年2月1日","13,628.0","13,356.0","13,679.0","13,356.0","49.08K","1.38%"
"2021年1月29日","13,442.0","13,615.0","13,615.0","13,358.0","83.29K","-1.53%"
"2021年1月28日","13,651.0","13,496.0","13,710.0","13,298.0","82.04K","0.12%"
"2021年1月27日","13,634.0","13,874.0","13,884.0","13,464.0","92.78K","-1.80%"
"2021年1月26日","13,884.0","13,704.0","13,922.0","13,579.0","64.02K","1.87%"
"2021年1月25日","13,629.0","13,881.0","13,946.0","13,588.0","79.71K","-1.57%"
"2021年1月22日","13,846.0","13,923.0","13,934.0","13,731.0","58.75K","-0.52%"
"2021年1月21日","13,919.0","13,953.0","14,017.0","13,859.0","44.02K","0.12%"
"2021年1月20日","13,903.0","13,865.0","13,959.0","13,785.0","40.87K","0.67%"
"2021年1月19日","13,810.0","13,888.0","13,952.0","13,790.0","43.20K","-0.14%"
"2021年1月18日","13,829.0","13,725.0","13,900.0","13,681.0","31.16K","0.38%"
"2021年1月15日","13,777.0","13,960.0","13,976.0","13,659.0","69.03K","-1.43%"
"2021年1月14日","13,977.0","13,957.0","14,021.0","13,925.0","44.65K","0.27%"
"2021年1月13日","13,940.0","13,920.0","13,967.0","13,855.0","41.41K","0.16%"
"2021年1月12日","13,918.0","13,945.0","13,992.0","13,830.0","41.26K","-0.11%"
"2021年1月11日","13,933.0","14,046.0","14,046.0","13,793.0","45.63K","-0.54%"
"2021年1月8日","14,009.0","13,981.0","14,123.0","13,973.0","48.79K","0.21%"
"2021年1月7日","13,980.0","13,877.0","14,003.0","13,877.0","42.28K","0.53%"
"2021年1月6日","13,906.0","13,688.0","13,927.0","13,602.0","56.86K","2.10%"
"2021年1月5日","13,620.0","13,688.0","13,758.0","13,552.0","48.79K","-0.74%"
"2021年1月4日","13,722.0","13,712.0","13,912.0","13,580.0","57.27K","-0.17%"
"2020年12月30日","13,746.0","13,684.0","13,788.0","13,648.0","25.78K","-0.12%"
